Cross Validation. kernel: RBF, c: 1, gamma: 0.01, k-fold: 2, accuracy = 0.553396, time: 1.430938361s
Cross Validation. kernel: RBF, c: 1, gamma: 0.01, k-fold: 5, accuracy = 0.590755, time: 7.167724558s
Cross Validation. kernel: RBF, c: 1, gamma: 0.01, k-fold: 10, accuracy = 0.599811, time: 15.926985969s
Cross Validation. kernel: RBF, c: 1, gamma: 0.5, k-fold: 2, accuracy = 0.903019, time: 434.081304ms
Cross Validation. kernel: RBF, c: 1, gamma: 0.5, k-fold: 5, accuracy = 0.9039619999999999, time: 2.169836952s
Cross Validation. kernel: RBF, c: 1, gamma: 0.5, k-fold: 10, accuracy = 0.903019, time: 4.5711065s
Cross Validation. kernel: RBF, c: 1, gamma: 1, k-fold: 2, accuracy = 0.905849, time: 395.218354ms
Cross Validation. kernel: RBF, c: 1, gamma: 1, k-fold: 5, accuracy = 0.9062260000000001, time: 1.768317967s
Cross Validation. kernel: RBF, c: 1, gamma: 1, k-fold: 10, accuracy = 0.9060380000000001, time: 3.602531156s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.01, coefficient: 0, k-fold: 2, accuracy = 0.551698, time: 758.72109ms
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.01, coefficient: 0, k-fold: 5, accuracy = 0.551698, time: 4.304686103s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.01, coefficient: 0, k-fold: 10, accuracy = 0.551698, time: 9.998927353s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.01, coefficient: 1, k-fold: 2, accuracy = 0.583962, time: 787.53945ms
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.01, coefficient: 1, k-fold: 5, accuracy = 0.611887, time: 4.36719897s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.01, coefficient: 1, k-fold: 10, accuracy = 0.61566, time: 11.505988148s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.01, coefficient: 2, k-fold: 2, accuracy = 0.61717, time: 820.663003ms
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.01, coefficient: 2, k-fold: 5, accuracy = 0.623019, time: 4.682916598s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.01, coefficient: 2, k-fold: 10, accuracy = 0.6245280000000001, time: 11.736922361s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.5, coefficient: 0, k-fold: 2, accuracy = 0.636226, time: 1.014873589s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.5, coefficient: 0, k-fold: 5, accuracy = 0.637925, time: 6.342305594s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.5, coefficient: 0, k-fold: 10, accuracy = 0.638113, time: 15.76458011s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.5, coefficient: 1, k-fold: 2, accuracy = 0.766604, time: 906.355856ms
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.5, coefficient: 1, k-fold: 5, accuracy = 0.7679250000000001, time: 5.811735853s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.5, coefficient: 1, k-fold: 10, accuracy = 0.767547, time: 15.082793912s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.5, coefficient: 2, k-fold: 2, accuracy = 0.766415, time: 1.114435288s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.5, coefficient: 2, k-fold: 5, accuracy = 0.7686790000000001, time: 7.754184762s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.5, coefficient: 2, k-fold: 10, accuracy = 0.767547, time: 19.516600163s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 1, coefficient: 0, k-fold: 2, accuracy = 0.636038, time: 1.984593802s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 1, coefficient: 0, k-fold: 5, accuracy = 0.637547, time: 13.588804473s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 1, coefficient: 0, k-fold: 10, accuracy = 0.6383019999999999, time: 35.957505823s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 1, coefficient: 1, k-fold: 2, accuracy = 0.768302, time: 1.869614542s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 1, coefficient: 1, k-fold: 5, accuracy = 0.769245, time: 12.429284654s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 1, coefficient: 1, k-fold: 10, accuracy = 0.768113, time: 31.925767778s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 1, coefficient: 2, k-fold: 2, accuracy = 0.768113, time: 2.324345877s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 1, coefficient: 2, k-fold: 5, accuracy = 0.769623, time: 17.145451332s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 1, coefficient: 2, k-fold: 10, accuracy = 0.767736, time: 39.28525619s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.01, coefficient: 0, k-fold: 2, accuracy = 0.551698, time: 733.154613ms
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.01, coefficient: 0, k-fold: 5, accuracy = 0.551698, time: 3.066044179s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.01, coefficient: 0, k-fold: 10, accuracy = 0.551698, time: 8.867276542s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.01, coefficient: 1, k-fold: 2, accuracy = 0.6177360000000001, time: 775.148761ms
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.01, coefficient: 1, k-fold: 5, accuracy = 0.623962, time: 4.067126822s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.01, coefficient: 1, k-fold: 10, accuracy = 0.6254719999999999, time: 10.297704957s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.01, coefficient: 2, k-fold: 2, accuracy = 0.64283, time: 769.735725ms
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.01, coefficient: 2, k-fold: 5, accuracy = 0.6513209999999999, time: 4.29832984s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.01, coefficient: 2, k-fold: 10, accuracy = 0.654717, time: 9.694515583s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.5, coefficient: 0, k-fold: 2, accuracy = 0.6322639999999999, time: 937.481978ms
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.5, coefficient: 0, k-fold: 5, accuracy = 0.6337740000000001, time: 5.769302983s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.5, coefficient: 0, k-fold: 10, accuracy = 0.632642, time: 13.966346847s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.5, coefficient: 1, k-fold: 2, accuracy = 0.8962260000000001, time: 478.178084ms
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.5, coefficient: 1, k-fold: 5, accuracy = 0.897358, time: 2.857258094s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.5, coefficient: 1, k-fold: 10, accuracy = 0.8962260000000001, time: 6.490739412s
